Epoch: 1 l_PM, l_P, l_MSE, d_penalty 0.00.005 1.0 0.0 P loss: (tensor(4.5980), tensor(4.3293), tensor(0.0164)) Time: 3.4328900535901385 minutes
Epoch: 10 l_PM, l_P, l_MSE, d_penalty 0.00.005 1.0 0.0 P loss: (tensor(3.0287), tensor(3.1003), tensor(0.0182)) Time: 3.457447858651479 minutes
Epoch: 20 l_PM, l_P, l_MSE, d_penalty 0.00.005 1.0 0.0 P loss: (tensor(2.8003), tensor(3.0436), tensor(0.0185)) Time: 3.4543967922528585 minutes
Epoch: 30 l_PM, l_P, l_MSE, d_penalty 0.00.005 1.0 0.0 P loss: (tensor(2.5589), tensor(3.1564), tensor(0.0189)) Time: 3.471943473815918 minutes
Epoch: 40 l_PM, l_P, l_MSE, d_penalty 0.00.005 1.0 0.0 P loss: (tensor(2.5039), tensor(2.9937), tensor(0.0188)) Time: 3.4566350102424623 minutes
Epoch: 50 l_PM, l_P, l_MSE, d_penalty 0.00.005 1.0 0.0 P loss: (tensor(2.4172), tensor(2.9399), tensor(0.0190)) Time: 3.4410273989041644 minutes
Epoch: 60 l_PM, l_P, l_MSE, d_penalty 0.00.005 1.0 0.0 P loss: (tensor(2.2560), tensor(2.8554), tensor(0.0192)) Time: 3.44880162080129 minutes
Epoch: 70 l_PM, l_P, l_MSE, d_penalty 0.00.005 1.0 0.0 P loss: (tensor(2.2778), tensor(2.8252), tensor(0.0193)) Time: 3.439359354972839 minutes
Epoch: 80 l_PM, l_P, l_MSE, d_penalty 0.00.005 1.0 0.0 P loss: (tensor(2.1950), tensor(2.7560), tensor(0.0192)) Time: 3.445794069766998 minutes
Epoch: 90 l_PM, l_P, l_MSE, d_penalty 0.00.005 1.0 0.0 P loss: (tensor(2.0763), tensor(2.6188), tensor(0.0197)) Time: 3.4471517205238342 minutes
Epoch: 100 l_PM, l_P, l_MSE, d_penalty 0.00.005 1.0 0.0 P loss: (tensor(2.0034), tensor(2.5893), tensor(0.0196)) Time: 3.4642267783482867 minutes
Epoch: 110 l_PM, l_P, l_MSE, d_penalty 0.00.005 1.0 0.0 P loss: (tensor(1.9257), tensor(2.4971), tensor(0.0198)) Time: 3.4556936581929523 minutes
Epoch: 120 l_PM, l_P, l_MSE, d_penalty 0.00.005 1.0 0.0 P loss: (tensor(1.9049), tensor(2.4264), tensor(0.0201)) Time: 3.438716014226278 minutes
Total Time: 7.1885608402225705 hours 
Epoch: 1 l_PM, l_P, l_MSE, d_penalty 0.00.005 1.0 0.0 P loss: (tensor(1.8359), tensor(2.4462), tensor(0.0201)) Time: 3.4685720205307007 minutes
Epoch: 10 l_PM, l_P, l_MSE, d_penalty 0.00.005 1.0 0.0 P loss: (tensor(1.8682), tensor(2.3228), tensor(0.0199)) Time: 3.5182257095972695 minutes
Epoch: 20 l_PM, l_P, l_MSE, d_penalty 0.00.005 1.0 0.0 P loss: (tensor(1.8448), tensor(2.4082), tensor(0.0197)) Time: 3.556547252337138 minutes
Epoch: 30 l_PM, l_P, l_MSE, d_penalty 0.00.005 1.0 0.0 P loss: (tensor(1.8611), tensor(2.2853), tensor(0.0198)) Time: 3.5486669977506002 minutes
Epoch: 40 l_PM, l_P, l_MSE, d_penalty 0.00.005 1.0 0.0 P loss: (tensor(1.6962), tensor(2.2080), tensor(0.0201)) Time: 3.5239136457443236 minutes
Epoch: 50 l_PM, l_P, l_MSE, d_penalty 0.00.005 1.0 0.0 P loss: (tensor(1.6889), tensor(2.1549), tensor(0.0202)) Time: 3.5279495755831403 minutes
Epoch: 60 l_PM, l_P, l_MSE, d_penalty 0.00.005 1.0 0.0 P loss: (tensor(1.6347), tensor(2.1555), tensor(0.0200)) Time: 3.546564996242523 minutes
Epoch: 70 l_PM, l_P, l_MSE, d_penalty 0.00.005 1.0 0.0 P loss: (tensor(1.7256), tensor(2.2073), tensor(0.0199)) Time: 3.530191473166148 minutes
