Epoch: 0l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.4426), tensor(0.5306), tensor(0.0166))
Epoch: 10l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.5579), tensor(0.5435), tensor(0.0166))
Epoch: 20l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.6616), tensor(0.5208), tensor(0.0160))
Epoch: 30l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.5771), tensor(0.4274), tensor(0.0160))
Epoch: 40l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.5347), tensor(0.4924), tensor(0.0158))
Epoch: 50l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.5474), tensor(0.4760), tensor(0.0160))
Epoch: 60l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.5855), tensor(0.5051), tensor(0.0155))
Epoch: 70l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.6201), tensor(0.5392), tensor(0.0155))
Epoch: 80l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.5382), tensor(0.4887), tensor(0.0155))
Epoch: 90l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.6268), tensor(0.4836), tensor(0.0154))
Epoch: 100l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.6111), tensor(0.5367), tensor(0.0150))
Epoch: 110l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.6200), tensor(0.5283), tensor(0.0147))
Epoch: 120l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.5666), tensor(0.4685), tensor(0.0152))
Epoch: 130l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.5608), tensor(0.5328), tensor(0.0147))
Epoch: 140l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.5619), tensor(0.5217), tensor(0.0145))
Epoch: 150l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.5669), tensor(0.5377), tensor(0.0149))
Epoch: 160l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.5102), tensor(0.4860), tensor(0.0144))
Epoch: 170l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.5822), tensor(0.4827), tensor(0.0143))
Epoch: 180l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.5755), tensor(0.5042), tensor(0.0146))
Epoch: 190l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.5548), tensor(0.4875), tensor(0.0146))
Epoch: 200l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.5063), tensor(0.4748), tensor(0.0146))
Epoch: 210l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.5460), tensor(0.4735), tensor(0.0144))
Epoch: 220l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.5030), tensor(0.4652), tensor(0.0145))
Epoch: 230l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.5367), tensor(0.4656), tensor(0.0142))
Epoch: 240l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.5101), tensor(0.4501), tensor(0.0140))
Epoch: 250l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.5351), tensor(0.4431), tensor(0.0143))
Epoch: 260l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.5487), tensor(0.4487), tensor(0.0143))
Epoch: 270l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.4932), tensor(0.4664), tensor(0.0143))
Epoch: 280l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.4667), tensor(0.4578), tensor(0.0146))
Epoch: 290l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.5079), tensor(0.4686), tensor(0.0145))
Epoch: 299l_PM, l_P, l_MSE, d_penalty 00.04 1 0 P loss: (tensor(0.5443), tensor(0.4442), tensor(0.0144))
