Epoch: 0l_PM, l_P, l_MSE, d_penalty 00 1 0 P loss: (tensor(9.5723), tensor(9.6920), tensor(0.0190))
Epoch: 10l_PM, l_P, l_MSE, d_penalty 00 1 0 P loss: (tensor(7.7214), tensor(7.4612), tensor(0.0134))
Epoch: 20l_PM, l_P, l_MSE, d_penalty 00 1 0 P loss: (tensor(6.0471), tensor(6.3053), tensor(0.0111))
Epoch: 30l_PM, l_P, l_MSE, d_penalty 00 1 0 P loss: (tensor(5.7783), tensor(5.6063), tensor(0.0104))
Epoch: 40l_PM, l_P, l_MSE, d_penalty 00 1 0 P loss: (tensor(5.3137), tensor(5.3415), tensor(0.0100))
Epoch: 50l_PM, l_P, l_MSE, d_penalty 00 1 0 P loss: (tensor(4.9471), tensor(4.8657), tensor(0.0100))
Epoch: 60l_PM, l_P, l_MSE, d_penalty 00 1 0 P loss: (tensor(4.7335), tensor(4.6422), tensor(0.0094))
Epoch: 70l_PM, l_P, l_MSE, d_penalty 00 1 0 P loss: (tensor(4.6374), tensor(4.5977), tensor(0.0094))
Epoch: 80l_PM, l_P, l_MSE, d_penalty 00 1 0 P loss: (tensor(4.6037), tensor(4.5867), tensor(0.0091))
Epoch: 90l_PM, l_P, l_MSE, d_penalty 00 1 0 P loss: (tensor(4.5068), tensor(4.3498), tensor(0.0092))
Epoch: 99l_PM, l_P, l_MSE, d_penalty 00 1 0 P loss: (tensor(4.3801), tensor(4.4700), tensor(0.0089))
Epoch: 0l_PM, l_P, l_MSE, d_penalty 00 1 0 P loss: (tensor(9.7942), tensor(9.8140), tensor(0.0184))
Epoch: 10l_PM, l_P, l_MSE, d_penalty 00 1 0 P loss: (tensor(7.4385), tensor(7.5797), tensor(0.0131))
Epoch: 20l_PM, l_P, l_MSE, d_penalty 00 1 0 P loss: (tensor(6.0856), tensor(6.4246), tensor(0.0115))
Epoch: 30l_PM, l_P, l_MSE, d_penalty 00 1 0 P loss: (tensor(5.6759), tensor(5.7777), tensor(0.0106))
Epoch: 40l_PM, l_P, l_MSE, d_penalty 00 1 0 P loss: (tensor(5.1239), tensor(4.9474), tensor(0.0101))
Epoch: 50l_PM, l_P, l_MSE, d_penalty 00 1 0 P loss: (tensor(4.9406), tensor(5.0053), tensor(0.0097))
Epoch: 60l_PM, l_P, l_MSE, d_penalty 00 1 0 P loss: (tensor(4.8314), tensor(4.8302), tensor(0.0095))
Epoch: 70l_PM, l_P, l_MSE, d_penalty 00 1 0 P loss: (tensor(4.6650), tensor(4.6032), tensor(0.0094))
Epoch: 80l_PM, l_P, l_MSE, d_penalty 00 1 0 P loss: (tensor(4.7558), tensor(4.8589), tensor(0.0094))
Epoch: 90l_PM, l_P, l_MSE, d_penalty 00 1 0 P loss: (tensor(4.5893), tensor(4.6145), tensor(0.0092))
Epoch: 99l_PM, l_P, l_MSE, d_penalty 00 1 0 P loss: (tensor(4.2908), tensor(4.2810), tensor(0.0090))
Epoch: 0l_PM, l_P, l_MSE, d_penalty 00 1 0 P loss: (tensor(8.5459), tensor(8.2594), tensor(0.0156))
Epoch: 0l_PM, l_P, l_MSE, d_penalty 00 1 0 P loss: (tensor(4.4458), tensor(4.4997), tensor(0.0090))
Epoch: 10l_PM, l_P, l_MSE, d_penalty 00 1 0 P loss: (tensor(4.3054), tensor(4.3385), tensor(0.0089))
Epoch: 19l_PM, l_P, l_MSE, d_penalty 00 1 0 P loss: (tensor(4.2111), tensor(4.1133), tensor(0.0087))
